,Order_ID,Date,Delivery_Status,Delivery_Time,Delivery_Cost,Customer_Rating,Rider_ID
0,ORDER1,2023-09-27,Failed,119,64.46,4,RIDER1
1,ORDER2,2023-08-21,Failed,73,94.63,4,RIDER2
2,ORDER3,2023-11-22,Failed,49,324.06,3,RIDER3
3,ORDER4,2023-01-17,In Transit,83,463.06,1,RIDER4
4,ORDER5,2023-11-28,Delivered,21,469.34,5,RIDER5
5,ORDER6,2023-03-19,In Transit,43,189.25,5,RIDER6
6,ORDER7,2023-06-06,In Transit,41,469.3,2,RIDER7
7,ORDER8,2023-10-29,In Transit,16,97.39,3,RIDER8
8,ORDER9,2023-09-19,Failed,112,277.74,2,RIDER9
9,ORDER10,2023-08-25,In Transit,53,303.38,4,RIDER10
10,ORDER11,2023-05-24,Failed,83,175.16,1,RIDER11
11,ORDER12,2023-10-09,Delivered,42,410.14,3,RIDER12
12,ORDER13,2023-11-24,In Transit,120,212.99,1,RIDER13
13,ORDER14,2023-04-06,Failed,73,99.37,3,RIDER14
14,ORDER15,2023-11-06,Failed,68,259.38,2,RIDER15
15,ORDER16,2023-07-27,Delivered,118,419.96,1,RIDER16
16,ORDER17,2023-12-07,In Transit,12,286.08,5,RIDER17
17,ORDER18,2023-03-08,Failed,106,97.97,1,RIDER18
18,ORDER19,2023-11-08,Delivered,23,275.48,3,RIDER19
19,ORDER20,2023-07-11,In Transit,25,229.38,4,RIDER20
20,ORDER21,2023-02-10,In Transit,87,235.89,2,RIDER21
21,ORDER22,2023-10-29,In Transit,10,482.52,4,RIDER22
22,ORDER23,2023-02-08,Delivered,120,148.23,2,RIDER23
23,ORDER24,2023-04-03,Delivered,57,355.81,3,RIDER24
24,ORDER25,2023-05-04,Delivered,19,361.65,2,RIDER25
25,ORDER26,2023-04-01,In Transit,56,100.43,4,RIDER26
26,ORDER27,2023-12-27,Failed,41,193.65,4,RIDER27
27,ORDER28,2023-04-05,Failed,87,493.5,1,RIDER28
28,ORDER29,2023-06-16,Failed,74,386.94,1,RIDER29
29,ORDER30,2023-01-19,In Transit,66,455.46,4,RIDER30
30,ORDER31,2023-06-13,In Transit,14,105.25,5,RIDER31
31,ORDER32,2023-02-12,In Transit,117,154.68,1,RIDER32
32,ORDER33,2023-07-31,In Transit,26,297.68,2,RIDER33
33,ORDER34,2023-10-05,Delivered,61,59.88,4,RIDER34
34,ORDER35,2023-09-13,Failed,98,429.42,5,RIDER35
35,ORDER36,2023-06-30,Delivered,84,55.47,3,RIDER36
36,ORDER37,2023-12-11,Delivered,33,264.27,4,RIDER37
37,ORDER38,2023-12-17,Delivered,76,264.65,1,RIDER38
38,ORDER39,2023-05-18,In Transit,115,217.97,1,RIDER39
39,ORDER40,2023-02-18,Delivered,90,242.5,2,RIDER40
40,ORDER41,2023-04-14,In Transit,120,247.84,3,RIDER41
41,ORDER42,2023-12-19,In Transit,104,186.9,4,RIDER42
42,ORDER43,2023-11-20,In Transit,102,189.01,3,RIDER43
43,ORDER44,2023-04-30,Delivered,50,221.97,2,RIDER44
44,ORDER45,2023-04-04,Delivered,63,84.46,2,RIDER45
45,ORDER46,2023-02-07,Delivered,64,376.58,2,RIDER46
46,ORDER47,2023-08-10,Delivered,101,449.43,2,RIDER47
47,ORDER48,2023-09-25,In Transit,63,260.92,4,RIDER48
48,ORDER49,2023-01-09,Delivered,82,288.93,3,RIDER49
49,ORDER50,2023-01-14,Failed,57,78.23,3,RIDER50
50,ORDER51,2023-03-13,Failed,79,303.09,2,RIDER51
